Ticker,Company,7D Sentiment,30D Sentiment,90D Sentiment,Raw News Sentiment,News Confidence,News Confidence Factor,Adjusted News Sentiment,Sentiment Momentum,Materiality,Materiality Factor,Sentiment Overlay,Catalyst Risk,Key News,Primary Source,Secondary Source
ABT,Abbott Laboratories,55,72,70,68.0,High,1.0,68.0,-17,Moderate,0.7,0.63,45,Q2 growth and EPS guide raised,https://abbott.mediaroom.com/2026-07-16-Abbott-Reports-Second-Quarter-2026-Results-and-Raises-Full-Year-EPS-Guidance,
ABBV,AbbVie,52,72,74,68.6,High,1.0,68.6,-20,Moderate,0.7,0.6509999999999998,70,Strong Q2 growth; Apogee acquisition; minor guide dilution,https://news.abbvie.com/2026-07-31-AbbVie-Reports-Second-Quarter-2026-Financial-Results,
GSK,GSK,50,68,70,65.0,High,1.0,65.0,-18,Moderate,0.7,0.5249999999999999,70,Strong core Q2; 20+ Phase III starts; GAAP impairment,https://www.gsk.com/en-gb/media/press-releases/gsk-delivers-strong-q2-core-results-performance-and-continued-momentum/,
NVS,Novartis,50,60,68,60.4,High,1.0,60.4,-10,Major,1.0,0.5199999999999999,90,Strong MS Phase 3 result offset by CAR-T safety trial pause,https://www.investopedia.com/market-update-novartis-reported-encouraging-trial-data-for-a-multiple-sclerosis-drug-the-stock-is-jumping-nvs-12075171,https://www.wsj.com/health/pharma/novartis-pauses-autoimmune-cell-therapy-studies-after-deaths-62113d35
PFE,Pfizer,50,58,60,57.0,Medium,0.85,55.95,-8,Moderate,0.7,0.2082500000000001,45,2026 guide reaffirmed; limited new near-term catalyst,https://www.sec.gov/Archives/edgar/data/78003/000007800326000087/pfe-20260618.htm,
MRK,Merck,65,78,76,74.8,High,1.0,74.8,-13,Major,1.0,1.24,75,Positive Phase 3 melanoma + FDA acceptance + Q2 milestones,https://www.merck.com/investor-relations/,
LLY,Eli Lilly,70,78,82,77.6,High,1.0,77.6,-8,Major,1.0,1.38,70,Pipeline M&A expands immunology; core obesity franchise remains strong,https://www.barrons.com/articles/eli-lilly-stock-merida-biosciences-acquisition-3757be2f,
JNJ,Johnson & Johnson,60,78,80,75.0,High,1.0,75.0,-18,Major,1.0,1.25,75,Raised outlook; approvals; talc-resolution progress,https://investor.jnj.com/investor-news/default.aspx,
AZN,AstraZeneca,60,78,78,74.4,High,1.0,74.4,-18,Moderate,0.7,0.8540000000000002,70,Strong oncology/rare disease results; outlook maintained,https://uk.finance.yahoo.com/quote/AZN/,
A,Agilent Technologies,70,78,72,74.6,High,1.0,74.6,-8,Moderate,0.7,0.8609999999999998,55,FDA/EU wins + Q3 beat + AI/science collaboration,https://www.investor.agilent.com/news-and-events/news/default.aspx,
GILD,Gilead Sciences,60,78,80,75.0,High,1.0,75.0,-18,Major,1.0,1.25,70,Q2 strong; HIV + FDA approvals + Phase 3 progress,https://investors.gilead.com/news/news-details/2026/Gilead-Sciences-Announces-Second-Quarter-2026-Financial-Results/default.aspx,
NVO,Novo Nordisk,25,28,32,28.6,High,1.0,28.6,-3,Major,1.0,-1.07,85,"Sell downgrade, obesity competition/pricing pressure, late-stage trial failure",https://www.wsj.com/health/pharma/novo-nordisk-shares-drop-as-bank-downgrade-reflects-growth-concerns-8939d3f8,
AMZN,Amazon,35,60,72,58.599999999999994,High,1.0,58.599999999999994,-25,Major,1.0,0.4299999999999997,75,Strong Q2/AWS acceleration; new FTC ad-practices lawsuit,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/default.aspx,https://www.axios.com/2026/08/31/ftc-amazon-deceptive-advertising-lawsuit
NFLX,Netflix,40,38,40,39.0,High,1.0,39.0,2,Moderate,0.7,-0.385,55,"Fundamentals growing, but M&A/strategy fears weigh on shares",https://www.marketwatch.com/story/netflix-is-growing-but-its-stock-price-is-shrinking-as-the-specter-of-m-a-spooks-investors-d8be002e,
DHR,Danaher,45,48,55,49.5,High,1.0,49.5,-3,Moderate,0.7,-0.017499999999999998,45,Q2 outlook upgrade but slowing growth / leadership transition,https://investors.danaher.com/press-releases?keywords=DHR-5&l=100,
MU,Micron Technology,55,75,84,73.7,High,1.0,73.7,-20,Moderate,0.7,0.8295000000000001,65,AI memory boom; Taiwan labor/lower-cycle risks,https://www.barrons.com/articles/micron-stock-price-memory-chips-c8a21d87,https://finance.yahoo.com/quote/MU/
ILMN,Illumina,55,72,70,68.0,Medium,0.85,65.3,-17,Moderate,0.7,0.5354999999999999,60,Q2 growth + AI/genomics partnerships,https://investor.illumina.com/news-events/news-releases,
AAPL,Apple,55,65,62,62.099999999999994,High,1.0,62.099999999999994,-10,Moderate,0.7,0.4234999999999998,65,Record Q3; CEO transition + AI execution questions,https://www.apple.com/newsroom/2026/07/apple-reports-third-quarter-results/,https://apnews.com/article/2fac80118828b4ada9d160d012c7be32
GOOGL,Alphabet,55,65,70,64.5,High,1.0,64.5,-10,Moderate,0.7,0.5075000000000001,65,Strong Q2/Cloud acceleration; AI capex and leadership-transition concerns,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm,
CSCO,Cisco Systems,65,68,65,66.5,Medium,0.85,64.025,-3,Moderate,0.7,0.49087500000000023,45,AI networking/connectivity thesis strengthening,https://www.marketwatch.com/story/buy-these-stocks-to-ride-the-next-big-ai-wave-connectivity-analyst-says-196241b2,
BAYRY,Bayer,62,60,75,64.9,Medium,0.85,62.665000000000006,2,Major,1.0,0.6332500000000003,90,Roundup legal relief + new approvals; litigation risk remains,https://www.marketbeat.com/stocks/OTCMKTS/BAYRY/news/,
NTRA,Natera,60,75,80,73.5,High,1.0,73.5,-15,Major,1.0,1.175,80,FDA/coverage/data momentum across Signatera/Prospera,https://www.morningstar.com/stocks/xnas/ntra/news,
AVGO,Broadcom,50,58,70,60.0,High,1.0,60.0,-8,Moderate,0.7,0.35,55,AI demand strong but high expectations/competition ahead of earnings,https://www.marketwatch.com/story/broadcom-earnings-need-to-answer-these-questions-for-the-stock-to-rally-again-f4e8f4f0,
AMAT,Applied Materials,55,72,80,71.0,High,1.0,71.0,-17,Moderate,0.7,0.735,55,AI-driven profits/revenue strong; stock/expectation volatility,https://www.morningstar.com/stocks/xnas/amat/news,
GH,Guardant Health,55,70,82,70.6,Medium,0.85,67.50999999999999,-15,Major,1.0,0.8754999999999996,80,FDA-approved liquid-biopsy momentum and analyst upgrades,https://www.benzinga.com/quote/GH/news,
LRCX,Lam Research,70,78,82,77.6,High,1.0,77.6,-8,Moderate,0.7,0.9659999999999999,50,$3B R&D expansion + higher dividend + AI chip demand,https://newsroom.lamresearch.com/press-releases?l=100,
BIO,Bio-Rad Laboratories,50,55,55,54.0,Low,0.65,52.6,-5,Minor,0.3,0.03900000000000003,35,"Q2 results, but limited material newsflow",https://investors.bio-rad.com/press-releases/default.aspx?ID=1006,
PANW,Palo Alto Networks,75,82,80,80.0,High,1.0,80.0,-7,Moderate,0.7,1.0499999999999998,60,Strong Q4 and FY27 outlook; AI cyber demand; FCF margin watch,https://www.marketwatch.com/story/palo-alto-networks-stock-climbs-as-demand-for-ai-cybersecurity-powers-an-earnings-beat-4b39578c,
PLTR,Palantir Technologies,82,88,85,85.9,High,1.0,85.9,-6,Major,1.0,1.7950000000000004,55,Standout earnings; major software-sector momentum,https://www.investopedia.com/big-software-names-bounced-back-in-august-can-they-sustain-their-recent-rally-msft-pltr-crm-panw-12074445,
WMT,Walmart,55,65,65,63.0,Medium,0.85,61.05,-10,Moderate,0.7,0.38674999999999987,35,Latest Q2 results / resilient retail demand; limited catalyst,https://stock.walmart.com/,
COST,Costco Wholesale,48,55,60,55.1,Medium,0.85,54.335,-7,Minor,0.3,0.06502500000000001,30,"Stable fundamentals, recent stock underperformance and few catalysts",https://investor.costco.com/,
AMD,Advanced Micro Devices,75,82,80,80.0,High,1.0,80.0,-7,Major,1.0,1.5,60,"AI partnerships, inference acquisition, deployments grow",https://ir.amd.com/news-events,
INTC,Intel,30,35,45,37.0,High,1.0,37.0,-5,Major,1.0,-0.65,80,Q2 followed by large equity offering/dilution,https://www.intc.com/news-events/press-releases,
SPCX,SpaceX,70,75,72,73.1,High,1.0,73.1,-5,Major,1.0,1.1549999999999998,80,DOD AI integration/vertical expansion; Crew mission delay,https://www.investors.com/news/spacex-dod-starshield-ai-grok-military-openai-chatgpt-nasa-mission-spacex-stock/,
TSLA,Tesla,55,55,50,53.5,High,1.0,53.5,0,Major,1.0,0.17500000000000002,85,Cybercab/FSD excitement vs slow robotaxi scaling/competition,https://www.barrons.com/articles/tesla-stock-price-cybercab-b9059add,
